1. Age Group:,2. Occupation:,"3. Do you use quick commerce apps like Blinkit or Zepto? If yes, how often you use them ?",4. How often do you shop from local retail/ kirana stores?,"5. For your immediate daily needs, what do you prefer?",6. What is the main reason for your preference?,7. Do Delivery charges influence your decision to use apps?,8. Which option do you think is more cost-effective?,"9. Overall, which option do you trust more for quality products?"
46- 62 years,Working Professional,Rarely,Frequently,Depends on situation,Convenience,Yes,About the same,Local shops
14-30 years,Student,Rarely,Occasionally,Depends on situation,Trust/personal interaction,Yes,About the same,Local shops
62 + years,Other,"No, I don’t use quick commerce apps",Frequently,Local shops,Price,Sometimes,Local shops,Local shops
62 + years,Other,"No, I don’t use quick commerce apps",Frequently,Local shops,Price,No,Local shops,Local shops
14-30 years,Student,Occasionally,Frequently,Local shops,Price,No,Local shops,Local shops
14-30 years,Student,Frequently,Frequently,Depends on situation,Price,Yes,Local shops,Local shops
14-30 years,Student,Occasionally,Frequently,Quick commerce apps,Convenience,No,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Occasionally,Frequently,Depends on situation,Price,Sometimes,Quick Commerce apps,Local shops
30-46 years,Working Professional,Rarely,Occasionally,Local shops,Product quality,Sometimes,Quick Commerce apps,Local shops
14-30 years,Student,Occasionally,Occasionally,Depends on situation,Price,Sometimes,About the same,Quick commerce apps
14-30 years,Other,Rarely,Frequently,Local shops,Price,Sometimes,About the same,Local shops
30-46 years,Working Professional,Frequently,Frequently,Depends on situation,Convenience,Sometimes,Quick Commerce apps,Quick commerce apps
46- 62 years,Homemaker,Rarely,Frequently,Local shops,Convenience,No,Quick Commerce apps,Local shops
Below 14 years,Student,Frequently,Frequently,Depends on situation,Convenience,Yes,Local shops,Local shops
Below 14 years,Student,Frequently,Rarely,Quick commerce apps,Convenience,Sometimes,Local shops,Quick commerce apps
Below 14 years,Homemaker,Occasionally,Frequently,Local shops,Speed of delivery,No,Quick Commerce apps,Quick commerce apps
14-30 years,Working Professional,Occasionally,Rarely,Depends on situation,Price,Yes,Quick Commerce apps,Local shops
14-30 years,Working Professional,Rarely,Frequently,Depends on situation,Trust/personal interaction,Sometimes,About the same,Quick commerce apps
30-46 years,Homemaker,Occasionally,Frequently,Local shops,Speed of delivery,Yes,Quick Commerce apps,Local shops
46- 62 years,Homemaker,"No, I don’t use quick commerce apps",Rarely,Depends on situation,Trust/personal interaction,Sometimes,About the same,Local shops
30-46 years,Student,Rarely,Rarely,Local shops,Price,No,Local shops,Local shops
14-30 years,Other,Rarely,Frequently,Local shops,Price,Yes,About the same,Local shops
46- 62 years,Homemaker,Rarely,Rarely,Depends on situation,Trust/personal interaction,Sometimes,About the same,Local shops
46- 62 years,Homemaker,Rarely,Occasionally,Local shops,Speed of delivery,No,Local shops,Quick commerce apps
14-30 years,Working Professional,Frequently,Frequently,Quick commerce apps,Convenience,Sometimes,Local shops,Quick commerce apps
62 + years,Other,"No, I don’t use quick commerce apps",Rarely,Depends on situation,Product quality,Sometimes,Local shops,Quick commerce apps
14-30 years,Homemaker,Rarely,Occasionally,Quick commerce apps,Price,No,About the same,Local shops
14-30 years,Working Professional,Rarely,Frequently,Quick commerce apps,Price,Sometimes,About the same,Local shops
14-30 years,Homemaker,Occasionally,Frequently,Quick commerce apps,Convenience,No,About the same,Local shops
Below 14 years,Homemaker,Rarely,Rarely,Local shops,Speed of delivery,Sometimes,About the same,Local shops
14-30 years,Student,Frequently,Frequently,Quick commerce apps,Convenience,Yes,About the same,Local shops
46- 62 years,Homemaker,Rarely,Occasionally,Local shops,Convenience,No,Local shops,Local shops
14-30 years,Student,Occasionally,Frequently,Local shops,Speed of delivery,Yes,Local shops,Quick commerce apps
14-30 years,Working Professional,Frequently,Occasionally,Depends on situation,Speed of delivery,Yes,Local shops,Local shops
14-30 years,Student,Occasionally,Occasionally,Depends on situation,Speed of delivery,No,Local shops,Local shops
30-46 years,Homemaker,"No, I don’t use quick commerce apps",Occasionally,Local shops,Speed of delivery,No,About the same,Local shops
46- 62 years,Working Professional,Occasionally,Frequently,Local shops,Product quality,Sometimes,Local shops,Local shops
30-46 years,Working Professional,Frequently,Frequently,Quick commerce apps,Convenience,Yes,Local shops,Local shops
46- 62 years,Homemaker,Occasionally,Occasionally,Local shops,Product quality,No,About the same,Local shops
46- 62 years,Homemaker,Occasionally,Occasionally,Local shops,Product quality,No,About the same,Local shops
14-30 years,Student,Occasionally,Occasionally,Local shops,Product quality,No,About the same,Local shops
14-30 years,Student,Frequently,Rarely,Quick commerce apps,Speed of delivery,Yes,About the same,Local shops
Below 14 years,Student,Occasionally,Occasionally,Depends on situation,Convenience,No,About the same,Quick commerce apps
14-30 years,Working Professional,Frequently,Occasionally,Depends on situation,Convenience,Sometimes,About the same,Quick commerce apps
14-30 years,Working Professional,Occasionally,Frequently,Quick commerce apps,Product quality,Yes,Local shops,Local shops
14-30 years,Homemaker,Rarely,Frequently,Depends on situation,Convenience,Sometimes,Quick Commerce apps,Local shops
14-30 years,Working Professional,Frequently,Rarely,Depends on situation,Convenience,No,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Frequently,Occasionally,Quick commerce apps,Speed of delivery,No,Quick Commerce apps,Local shops
14-30 years,Student,Frequently,Frequently,Local shops,Speed of delivery,Yes,Local shops,Local shops
14-30 years,Student,Occasionally,Occasionally,Depends on situation,Price,Yes,Local shops,Local shops
14-30 years,Student,Frequently,Frequently,Depends on situation,Price,Yes,Quick Commerce apps,Local shops
30-46 years,Other,"No, I don’t use quick commerce apps",Frequently,Local shops,Trust/personal interaction,Yes,About the same,Local shops
30-46 years,Working Professional,"No, I don’t use quick commerce apps",Occasionally,Depends on situation,Product quality,Yes,Local shops,Local shops
30-46 years,Working Professional,Frequently,Frequently,Depends on situation,Convenience,Yes,Quick Commerce apps,Quick commerce apps
30-46 years,Working Professional,Frequently,Rarely,Quick commerce apps,Convenience,Sometimes,About the same,Quick commerce apps
14-30 years,Working Professional,Frequently,Frequently,Local shops,Convenience,Yes,Quick Commerce apps,Quick commerce apps
62 + years,Other,"No, I don’t use quick commerce apps",Frequently,Local shops,Convenience,No,Local shops,Local shops
14-30 years,Student,Frequently,Frequently,Quick commerce apps,Convenience,Yes,Quick Commerce apps,Local shops
14-30 years,Student,Frequently,Occasionally,Depends on situation,Convenience,Yes,About the same,Local shops
14-30 years,Student,Occasionally,Frequently,Local shops,Convenience,Yes,Local shops,Local shops
14-30 years,Student,Frequently,Frequently,Quick commerce apps,Price,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Frequently,Frequently,Local shops,Trust/personal interaction,Yes,Local shops,Local shops
14-30 years,Student,Occasionally,Frequently,Local shops,Price,Yes,Local shops,Local shops
14-30 years,Student,Occasionally,Frequently,Local shops,Price,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Frequently,Occasionally,Quick commerce apps,Convenience,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Rarely,Frequently,Local shops,Trust/personal interaction,Yes,Local shops,Local shops
14-30 years,Student,Occasionally,Frequently,Depends on situation,Product quality,Yes,About the same,Local shops
14-30 years,Student,Occasionally,Frequently,Depends on situation,Convenience,Yes,About the same,Local shops
14-30 years,Student,Occasionally,Frequently,Depends on situation,Convenience,Yes,About the same,Local shops
30-46 years,Working Professional,Frequently,Rarely,Quick commerce apps,Speed of delivery,Yes,Quick Commerce apps,Quick commerce apps
30-46 years,Working Professional,Occasionally,Frequently,Depends on situation,Speed of delivery,Sometimes,Quick Commerce apps,Local shops
46- 62 years,Homemaker,"No, I don’t use quick commerce apps",Frequently,Depends on situation,Trust/personal interaction,Sometimes,About the same,Local shops
46- 62 years,Working Professional,"No, I don’t use quick commerce apps",Rarely,Local shops,Product quality,No,About the same,Local shops
Below 14 years,Student,Occasionally,Occasionally,Depends on situation,Trust/personal interaction,Sometimes,About the same,Quick commerce apps
30-46 years,Homemaker,Rarely,Frequently,Quick commerce apps,Speed of delivery,Sometimes,Local shops,Local shops
62 + years,Homemaker,Rarely,Frequently,Local shops,Product quality,Sometimes,Local shops,Quick commerce apps
46- 62 years,Homemaker,Rarely,Frequently,Local shops,Speed of delivery,No,Local shops,Local shops
14-30 years,Student,Rarely,Frequently,Local shops,Trust/personal interaction,Sometimes,Local shops,Local shops
14-30 years,Student,Rarely,Frequently,Local shops,Trust/personal interaction,Sometimes,Local shops,Local shops
14-30 years,Student,Occasionally,Frequently,Depends on situation,Speed of delivery,Yes,About the same,Local shops
14-30 years,Student,Occasionally,Occasionally,Local shops,Price,Yes,About the same,Quick commerce apps
14-30 years,Student,Frequently,Occasionally,Quick commerce apps,Speed of delivery,Sometimes,About the same,Quick commerce apps
Below 14 years,Homemaker,Rarely,Occasionally,Depends on situation,Price,Sometimes,About the same,Local shops
14-30 years,Other,"No, I don’t use quick commerce apps",Rarely,Quick commerce apps,Trust/personal interaction,Yes,Local shops,Quick commerce apps
30-46 years,Working Professional,Rarely,Frequently,Quick commerce apps,Product quality,No,Local shops,Quick commerce apps
Below 14 years,Student,Rarely,Occasionally,Depends on situation,Speed of delivery,Yes,Local shops,Quick commerce apps
30-46 years,Other,Occasionally,Occasionally,Quick commerce apps,Trust/personal interaction,No,About the same,Quick commerce apps
30-46 years,Working Professional,"No, I don’t use quick commerce apps",Occasionally,Quick commerce apps,Price,No,About the same,Quick commerce apps
14-30 years,Homemaker,Frequently,Frequently,Quick commerce apps,Speed of delivery,Sometimes,Local shops,Quick commerce apps
62 + years,Student,Occasionally,Frequently,Local shops,Price,Sometimes,Local shops,Local shops
14-30 years,Working Professional,Rarely,Occasionally,Local shops,Speed of delivery,No,About the same,Quick commerce apps
30-46 years,Other,Rarely,Rarely,Local shops,Trust/personal interaction,Sometimes,Quick Commerce apps,Quick commerce apps
30-46 years,Working Professional,Occasionally,Rarely,Local shops,Trust/personal interaction,Yes,About the same,Quick commerce apps
Below 14 years,Student,Occasionally,Frequently,Depends on situation,Speed of delivery,No,Local shops,Local shops
14-30 years,Student,"No, I don’t use quick commerce apps",Frequently,Depends on situation,Convenience,Sometimes,About the same,Quick commerce apps
Below 14 years,Student,"No, I don’t use quick commerce apps",Frequently,Quick commerce apps,Speed of delivery,No,About the same,Local shops
Below 14 years,Working Professional,"No, I don’t use quick commerce apps",Occasionally,Depends on situation,Trust/personal interaction,No,Local shops,Quick commerce apps
Below 14 years,Working Professional,"No, I don’t use quick commerce apps",Occasionally,Local shops,Convenience,Sometimes,About the same,Local shops
14-30 years,Student,Frequently,Occasionally,Quick commerce apps,Convenience,No,Local shops,Quick commerce apps
62 + years,Student,Occasionally,Rarely,Local shops,Convenience,Yes,About the same,Local shops
62 + years,Homemaker,Rarely,Occasionally,Depends on situation,Speed of delivery,Sometimes,About the same,Local shops
14-30 years,Student,Frequently,Occasionally,Local shops,Trust/personal interaction,Sometimes,About the same,Local shops
46- 62 years,Other,Occasionally,Occasionally,Local shops,Convenience,No,Quick Commerce apps,Quick commerce apps
14-30 years,Working Professional,Rarely,Frequently,Quick commerce apps,Convenience,No,Local shops,Quick commerce apps
46- 62 years,Homemaker,Rarely,Frequently,Depends on situation,Price,No,About the same,Local shops
Below 14 years,Working Professional,"No, I don’t use quick commerce apps",Frequently,Depends on situation,Product quality,No,Quick Commerce apps,Quick commerce apps
14-30 years,Working Professional,"No, I don’t use quick commerce apps",Occasionally,Quick commerce apps,Speed of delivery,Yes,About the same,Local shops
Below 14 years,Homemaker,Occasionally,Occasionally,Local shops,Product quality,Yes,Quick Commerce apps,Local shops
46- 62 years,Working Professional,Frequently,Frequently,Quick commerce apps,Product quality,Sometimes,Quick Commerce apps,Quick commerce apps
46- 62 years,Homemaker,"No, I don’t use quick commerce apps",Frequently,Quick commerce apps,Speed of delivery,Sometimes,About the same,Quick commerce apps
14-30 years,Other,Rarely,Occasionally,Quick commerce apps,Trust/personal interaction,Yes,Local shops,Local shops
Below 14 years,Working Professional,"No, I don’t use quick commerce apps",Occasionally,Local shops,Speed of delivery,Sometimes,Local shops,Quick commerce apps
Below 14 years,Homemaker,Frequently,Occasionally,Quick commerce apps,Speed of delivery,No,About the same,Quick commerce apps
62 + years,Student,Occasionally,Rarely,Quick commerce apps,Trust/personal interaction,No,Quick Commerce apps,Quick commerce apps
62 + years,Student,Frequently,Frequently,Depends on situation,Convenience,Sometimes,About the same,Quick commerce apps
62 + years,Homemaker,Frequently,Rarely,Depends on situation,Trust/personal interaction,Sometimes,Local shops,Quick commerce apps
Below 14 years,Working Professional,Occasionally,Occasionally,Depends on situation,Speed of delivery,Yes,About the same,Local shops
62 + years,Working Professional,Occasionally,Rarely,Local shops,Trust/personal interaction,No,Quick Commerce apps,Local shops
46- 62 years,Other,Rarely,Rarely,Local shops,Product quality,No,Local shops,Local shops
14-30 years,Homemaker,"No, I don’t use quick commerce apps",Rarely,Quick commerce apps,Product quality,No,Quick Commerce apps,Quick commerce apps
46- 62 years,Homemaker,"No, I don’t use quick commerce apps",Occasionally,Quick commerce apps,Product quality,Sometimes,Local shops,Quick commerce apps
46- 62 years,Student,Occasionally,Rarely,Local shops,Price,No,Local shops,Local shops
62 + years,Student,Frequently,Rarely,Quick commerce apps,Price,Sometimes,Quick Commerce apps,Local shops
62 + years,Working Professional,Occasionally,Frequently,Quick commerce apps,Convenience,Yes,About the same,Quick commerce apps
14-30 years,Student,Rarely,Rarely,Depends on situation,Trust/personal interaction,Sometimes,About the same,Quick commerce apps
Below 14 years,Homemaker,Frequently,Rarely,Quick commerce apps,Price,No,Quick Commerce apps,Local shops
30-46 years,Working Professional,Rarely,Occasionally,Depends on situation,Product quality,Yes,Quick Commerce apps,Quick commerce apps
46- 62 years,Homemaker,Rarely,Frequently,Local shops,Price,Yes,Quick Commerce apps,Local shops
Below 14 years,Student,Occasionally,Occasionally,Local shops,Product quality,Sometimes,Local shops,Local shops
Below 14 years,Homemaker,Rarely,Rarely,Local shops,Price,No,Local shops,Local shops
30-46 years,Working Professional,Occasionally,Rarely,Local shops,Speed of delivery,Yes,Local shops,Local shops
14-30 years,Student,Frequently,Frequently,Depends on situation,Convenience,No,Quick Commerce apps,Local shops
14-30 years,Student,Occasionally,Frequently,Depends on situation,Convenience,Sometimes,About the same,Local shops
14-30 years,Student,Occasionally,Occasionally,Quick commerce apps,Convenience,No,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Occasionally,Frequently,Local shops,Price,Yes,Local shops,Quick commerce apps
14-30 years,Student,Occasionally,Occasionally,Depends on situation,Price,Yes,Local shops,Local shops
14-30 years,Student,Frequently,Frequently,Depends on situation,Price,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Occasionally,Frequently,Depends on situation,Convenience,Sometimes,About the same,Local shops
14-30 years,Student,Frequently,Occasionally,Depends on situation,Price,Yes,Quick Commerce apps,Local shops
14-30 years,Student,"No, I don’t use quick commerce apps",Occasionally,Local shops,Product quality,No,Local shops,Local shops
14-30 years,Student,Rarely,Frequently,Local shops,Price,Yes,Local shops,Local shops
14-30 years,Student,Frequently,Occasionally,Depends on situation,Convenience,Yes,Quick Commerce apps,Local shops
14-30 years,Student,Frequently,Occasionally,Quick commerce apps,Convenience,Sometimes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Frequently,Frequently,Depends on situation,Convenience,Yes,About the same,Local shops
14-30 years,Student,Occasionally,Frequently,Depends on situation,Price,Yes,Local shops,Local shops
14-30 years,Student,Frequently,Frequently,Quick commerce apps,Convenience,No,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Frequently,Occasionally,Quick commerce apps,Convenience,Yes,Local shops,Local shops
14-30 years,Student,Frequently,Frequently,Quick commerce apps,Convenience,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Occasionally,Occasionally,Depends on situation,Speed of delivery,Yes,Local shops,Quick commerce apps
14-30 years,Working Professional,Occasionally,Frequently,Local shops,Price,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Rarely,Frequently,Local shops,Convenience,Yes,Local shops,Quick commerce apps
14-30 years,Student,Frequently,Frequently,Local shops,Convenience,Yes,Quick Commerce apps,Local shops
Below 14 years,Student,Frequently,Frequently,Quick commerce apps,Convenience,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Occasionally,Frequently,Depends on situation,Price,Yes,About the same,Local shops
14-30 years,Student,Frequently,Frequently,Local shops,Convenience,Sometimes,Local shops,Local shops
14-30 years,Student,Frequently,Occasionally,Local shops,Trust/personal interaction,Yes,Local shops,Local shops
14-30 years,Student,Frequently,Frequently,Local shops,Price,Yes,About the same,Quick commerce apps
14-30 years,Student,Occasionally,Occasionally,Quick commerce apps,Convenience,Yes,Local shops,Quick commerce apps
14-30 years,Student,Occasionally,Occasionally,Quick commerce apps,Product quality,Yes,About the same,Quick commerce apps
14-30 years,Student,Frequently,Frequently,Local shops,Price,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Frequently,Occasionally,Quick commerce apps,Speed of delivery,Sometimes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Frequently,Rarely,Quick commerce apps,Speed of delivery,Yes,About the same,Local shops
14-30 years,Student,Frequently,Rarely,Quick commerce apps,Convenience,Yes,Quick Commerce apps,Quick commerce apps
Below 14 years,Student,Frequently,Frequently,Quick commerce apps,Convenience,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Frequently,Frequently,Local shops,Convenience,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Frequently,Occasionally,Quick commerce apps,Convenience,No,Local shops,Quick commerce apps
14-30 years,Student,Frequently,Rarely,Quick commerce apps,Convenience,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Occasionally,Frequently,Depends on situation,Price,Sometimes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Frequently,Occasionally,Quick commerce apps,Convenience,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Occasionally,Frequently,Local shops,Speed of delivery,No,Local shops,Quick commerce apps
14-30 years,Student,Occasionally,Frequently,Local shops,Price,Yes,About the same,Quick commerce apps
14-30 years,Student,Rarely,Frequently,Local shops,Convenience,Yes,Local shops,Local shops
14-30 years,Student,Occasionally,Occasionally,Local shops,Convenience,Yes,About the same,Quick commerce apps
14-30 years,Student,Frequently,Occasionally,Local shops,Price,Yes,Local shops,Local shops
14-30 years,Student,Frequently,Frequently,Local shops,Price,Yes,Local shops,Local shops
14-30 years,Student,Frequently,Frequently,Quick commerce apps,Speed of delivery,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Frequently,Frequently,Depends on situation,Speed of delivery,Yes,Local shops,Local shops
14-30 years,Student,Frequently,Occasionally,Quick commerce apps,Speed of delivery,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Frequently,Frequently,Depends on situation,Convenience,Yes,Local shops,Local shops
14-30 years,Student,Frequently,Occasionally,Quick commerce apps,Speed of delivery,Yes,About the same,Quick commerce apps
14-30 years,Student,Occasionally,Occasionally,Quick commerce apps,Price,No,Quick Commerce apps,Local shops
14-30 years,Student,Occasionally,Frequently,Quick commerce apps,Speed of delivery,Yes,Local shops,Local shops
14-30 years,Student,Rarely,Occasionally,Local shops,Speed of delivery,Yes,About the same,Quick commerce apps
14-30 years,Student,Occasionally,Frequently,Depends on situation,Speed of delivery,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Occasionally,Frequently,Local shops,Convenience,Yes,Quick Commerce apps,Local shops
14-30 years,Working Professional,Occasionally,Occasionally,Local shops,Speed of delivery,No,Local shops,Quick commerce apps
14-30 years,Student,Occasionally,Frequently,Local shops,Convenience,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Working Professional,Rarely,Occasionally,Depends on situation,Convenience,Yes,Quick Commerce apps,Quick commerce apps
14-30 years,Student,Frequently,Frequently,Local shops,Convenience,Sometimes,Local shops,Local shops
14-30 years,Other,Frequently,Occasionally,Quick commerce apps,Speed of delivery,Yes,About the same,Local shops
14-30 years,Student,Occasionally,Frequently,Local shops,Product quality,Yes,Local shops,Local shops
14-30 years,Student,Rarely,Frequently,Depends on situation,Trust/personal interaction,Yes,About the same,Local shops
14-30 years,Student,Rarely,Frequently,Depends on situation,Price,Yes,Local shops,Local shops
14-30 years,Student,Occasionally,Frequently,Local shops,Speed of delivery,Yes,Quick Commerce apps,Quick commerce apps
Below 14 years,Homemaker,Rarely,Frequently,Local shops,Price,No,Local shops,Local shops
30-46 years,Working Professional,Occasionally,Frequently,Local shops,Trust/personal interaction,No,About the same,Local shops
30-46 years,Other,"No, I don’t use quick commerce apps",Occasionally,Depends on situation,Speed of delivery,Sometimes,Local shops,Quick commerce apps
62 + years,Working Professional,Occasionally,Frequently,Depends on situation,Product quality,No,Local shops,Quick commerce apps
30-46 years,Other,Rarely,Rarely,Local shops,Price,No,Local shops,Local shops
Below 14 years,Other,Occasionally,Occasionally,Local shops,Convenience,Yes,Local shops,Quick commerce apps
46- 62 years,Homemaker,Occasionally,Rarely,Local shops,Trust/personal interaction,Sometimes,Local shops,Local shops
46- 62 years,Working Professional,Frequently,Rarely,Depends on situation,Speed of delivery,Yes,Local shops,Local shops
30-46 years,Working Professional,Rarely,Occasionally,Local shops,Price,Yes,About the same,Local shops
30-46 years,Working Professional,Rarely,Occasionally,Local shops,Convenience,No,About the same,Quick commerce apps
30-46 years,Working Professional,Occasionally,Rarely,Depends on situation,Speed of delivery,No,Local shops,Local shops
62 + years,Working Professional,Frequently,Rarely,Depends on situation,Price,No,Local shops,Local shops
14-30 years,Working Professional,Frequently,Occasionally,Depends on situation,Product quality,Sometimes,About the same,Local shops
30-46 years,Working Professional,Occasionally,Frequently,Local shops,Speed of delivery,No,About the same,Local shops
62 + years,Other,"No, I don’t use quick commerce apps",Rarely,Depends on situation,Speed of delivery,No,About the same,Local shops
14-30 years,Working Professional,Frequently,Occasionally,Depends on situation,Price,Yes,About the same,Local shops
